id,weight,state,dist,pres_economy,dem_party,rep_party,hhold_size,current_economy,buy_guns,important_english,syrian,global_warming,abortion,age,number_children,length_community,dem_candidate,rep_candidate,feminists,liberals,conservatives,gays,muslims,christians,jews,trans,scientists,black_lives,vaccine_school,immigrant_level,vaccine_risk,marijuana,imm_harm,align_democrat,hispanics,blacks,illegal_imm,whites,vote_trump,distrust,corrupt,wrong_track,support_wall,deny_syrians,minority_adapt,imm_level_high,authority,ei,ei_lag,union,insurance,inequal,worry_finances,ur_dist,poor_economy,since_08,last_yr,next_yr,dem_economy,rep_economy,rep_id,dem_id,ind_id,male,less_hs,hs,some_ps,ps,ps_plus,race_vm,imm,military,married,divorced,widowed,single,children,born_again,poor_health,employed,unemployed,not_lf,jobless,job_insecurity,new_england,mideast,great_lakes,plains,southeast,southwest,rocky,far_west,income
302446,.852,6,23,4,,,6,3,2,1,4,1,1,35,4,3,70,70,50,50,60,50,50,60,50,50,70,60,2,3,4,3,1,,60,60,50,60,,1,0,,0,0,0,0,2,0,1,0,1,5,4,9.8,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
302447,.792,37,5,1,60,30,4,3,1,2,3,1,4,46,1,11,70,15,70,70,50,70,70,70,85,70,70,60,2,3,1,3,2,1,70,70,70,70,0,0,0,0,0,0,0,0,2,0,0,1,1,5,2,5.7,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,116964
302449,.562,55,5,3,50,50,6,3,3,1,6,2,4,33,3,4,40,60,70,50,50,50,50,70,50,50,85,50,1,4,4,3,2,,50,50,30,50,,0,0,0,1,1,1,0,4,0,0,0,0,5,1,3.4,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,70967
302450,1.023,4,4,4,0,100,2,4,2,1,7,2,2,73,0,1,15,85,50,30,100,50,50,70,50,40,70,30,1,5,1,2,1,0,50,50,15,50,1,1,1,1,1,1,1,1,4,0,0,0,1,3,2,7.1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,78549
302452,.855,20,4,1,60,0,2,2,1,1,2,1,2,70,0,40,60,0,50,50,0,80,50,0,60,100,100,100,2,4,4,1,2,1,65,60,70,60,0,0,0,1,0,0,0,0,4,0,0,0,1,5,2,4.9,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,63948
302456,1.376,34,12,1,60,15,2,3,1,1,1,1,4,53,0,13,85,0,85,85,0,85,85,85,85,85,85,85,1,2,1,1,1,1,100,85,85,85,0,0,0,1,0,0,1,0,0,0,0,1,1,5,1,6.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,109997
302459,.5,11,1,1,100,50,1,4,1,1,4,1,4,37,0,37,85,40,70,60,50,50,50,50,85,50,85,85,1,3,1,1,3,1,70,70,50,70,,0,0,1,0,0,1,0,2,0,0,0,1,5,5,6.9,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
302461,1.236,6,25,4,40,60,2,2,1,1,4,2,4,79,0,32,40,70,70,60,70,50,70,85,50,15,85,15,1,3,3,2,1,,60,60,30,85,1,0,0,1,1,0,1,0,8,0,0,0,1,4,1,6.4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,34481
302463,.78,26,6,4,20,70,2,3,3,1,7,2,2,60,0,12,0,85,50,50,50,70,50,60,50,0,85,50,6,4,6,3,2,0,50,50,50,70,1,0,0,1,0,1,0,0,6,0,0,0,1,4,2,4.6,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,57801
302465,1.405,36,12,4,60,40,2,2,1,1,4,1,4,76,0,15,60,60,60,70,40,70,60,70,85,60,70,30,1,3,1,1,2,1,,,,,0,0,0,1,0,0,1,0,8,1,0,0,1,5,2,4.1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,121453
302467,.959,8,1,1,85,30,2,2,1,1,2,1,4,70,0,23,100,0,85,50,50,100,70,70,100,85,70,100,1,3,4,1,1,1,100,100,100,100,0,0,0,0,0,0,1,0,4,0,0,0,1,5,4,4.2,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,0,0,1,0,35005
302470,1.441,6,44,1,40,40,2,2,1,1,6,1,2,72,0,40,50,60,40,40,70,50,60,70,85,50,60,30,1,3,1,2,2,0,60,60,30,85,1,0,0,1,1,1,1,0,4,,0,0,1,5,1,8.2,0,0,0,,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
302471,.955,20,4,4,50,50,2,5,1,1,6,1,4,50,0,40,0,15,40,50,50,50,50,60,50,0,60,40,6,3,4,2,3,,40,85,50,70,,1,1,1,1,1,1,0,5,0,0,0,1,3,1,4.9,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,1,0,0,0,1,0,0,0,0,52733
302476,.635,9,5,2,70,70,3,4,3,1,4,1,2,34,2,30,50,50,60,100,100,100,100,100,100,100,100,70,4,3,1,1,2,,100,100,70,100,,0,0,1,0,0,0,0,6,0,0,0,1,2,5,5.9,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,40119
302480,.643,5,3,4,30,85,2,2,3,1,7,2,3,68,0,1,0,85,30,30,85,15,50,85,50,30,60,0,1,4,1,2,3,0,85,85,0,85,1,0,1,1,1,1,1,0,4,0,0,0,1,5,1,3.3,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,
302489,.721,39,2,1,85,40,1,3,1,2,3,1,4,25,0,1,85,15,85,70,40,85,85,100,70,85,50,85,4,2,1,1,2,1,85,100,60,40,0,0,0,0,0,0,0,0,4,0,0,0,1,5,1,4.8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,30849
302491,1.386,13,7,1,0,100,2,3,3,1,6,1,4,71,0,27,0,100,0,50,100,0,0,100,100,0,60,0,1,5,4,2,5,0,85,30,50,100,1,0,0,1,0,1,1,1,6,0,0,1,1,3,1,3.2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,62791
302492,2.522,35,3,2,70,60,3,4,1,1,2,1,4,37,1,8,85,0,70,70,40,85,85,85,85,70,70,85,1,3,1,1,2,1,100,85,70,100,0,0,0,0,0,0,1,0,6,0,0,0,1,4,2,8.6,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,44737
302493,1.749,47,5,4,10,70,4,3,3,1,7,1,1,50,0,40,60,40,,70,30,0,0,100,30,0,60,70,1,1,4,2,4,1,0,5,6,10,,0,0,1,0,1,1,0,6,0,0,0,1,2,1,4.1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,40003
302494,1.337,35,3,2,50,50,6,3,3,2,7,1,3,37,4,37,50,50,50,50,50,40,50,60,50,30,60,60,3,5,1,1,4,,100,50,40,40,0,0,1,1,0,1,1,1,4,0,0,0,1,5,5,8.6,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,27133
302496,.539,47,5,1,85,15,3,3,3,1,2,1,4,41,2,6,100,15,70,70,60,100,50,85,50,100,60,70,2,3,3,3,2,1,40,60,30,60,0,0,0,1,0,0,1,0,4,0,0,0,1,5,3,4.1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,38088
302498,1.483,13,7,1,85,15,3,4,1,1,4,2,4,20,0,1,60,0,100,85,0,100,100,85,100,100,40,100,7,3,6,1,2,1,100,100,50,30,,0,0,1,0,0,0,0,6,0,0,0,1,2,3,3.2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
302501,1.134,24,8,,50,50,1,5,2,1,7,1,4,32,0,5,0,70,40,50,50,50,50,30,50,50,70,50,1,3,4,1,3,,100,100,0,100,,0,1,,1,1,0,0,6,0,0,0,1,4,2,4.6,1,1,1,1,0,0,,,,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,68330
302506,1.766,20,4,3,50,50,3,4,3,1,5,1,4,59,0,25,15,70,70,60,85,30,85,100,100,15,100,40,1,3,1,2,1,0,85,85,0,85,1,0,1,1,0,1,1,0,6,0,1,0,1,5,3,4.9,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,92685
302509,1.125,16,2,3,30,0,4,4,1,4,1,1,4,23,0,19,60,0,100,85,0,100,100,30,100,100,30,100,4,1,1,1,1,,100,100,100,0,0,1,1,1,0,0,0,0,0,0,0,,1,5,3,4.3,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,106275
302513,.281,6,47,4,40,60,2,4,1,1,7,1,4,62,0,12,30,70,50,40,60,85,50,50,85,85,70,30,1,4,1,1,1,,85,70,0,85,1,0,0,1,1,1,1,0,,0,1,0,1,4,5,5.9,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,258850
